PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Activity Summary,Ratio Activity,Ratio Potency (uM),Ratio Efficacy (%),530 nm Activity,530 nm Potency (uM),530 nm Efficacy (%),460 nm Activity,460 nm Potency (uM),460 nm Efficacy (%),Viability Activity,Viability Potency (uM),Viability Efficacy (%),Sample Source
5786,144212798,6327366,C[Si](O[Si](C)(C)C)O[Si](C)(C)C,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,LightBiologicals
5787,144212799,16682953,CC(=O)O[Pb](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,Inconclusive,25,,,inconclusive antagonist (cytotoxic),active antagonist,0.453485,-100.275,active agonist,1.18367,148.248,active antagonist,0.718726,-127.747,active antagonist,0.746844,-102.322,LightBiologicals
5788,144212800,8712,CC1=CC=CC=C1S,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Alfa Aesar
5789,144212801,70151,C1CCN(CC1)CN2CCCCC2,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,LightBiologicals
5790,144212802,1550890,C1=CC=C(C=C1)/C=C/COC(=O)/C=C/C2=CC=CC=C2,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
5791,144212803,61660,CC(=O)SCC1=CC=CO1,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive agonist,,,inactive,,0,SIGMA
5792,144212804,23679004,CC(C)(CO)[C@H](C(=O)NCCC(=O)[O-])O.[Na+],Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,TCI
5793,144212805,8835,CCCC(=O)OCCC(C)CCC=C(C)C,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,MP Biomedicals
5794,144212806,42504,CC1=C(C(=CC=C1)C)N(C(C)C(=O)OC)C(=O)C2=CC=CO2,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
5795,144212807,6538105,CCCCCCCCCC/C=C/C#N,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
5796,144212808,16872,CCCCCCOC(=O)C(C)C,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
5797,144212809,5367785,C/C=C(\C)/C(=O)OC/C=C(\C)/CCC=C(C)C,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,MP Biomedicals
5798,144212810,31211,CC(=O)CCC1=CC(=C(C=C1)O)OC,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Alfa Aesar
5799,144212811,7707,C1=CC=C(C=C1)CCC=O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
5800,144212812,60196431,CCCCCC(CC)OC(=O)CCCOC1=C(C=C(C=C1)Cl)Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Crescent
5801,144212813,9351,C1=CC=C2C(=C1)C=NN=C2NN.Cl,Active,43,,,active antagonist,active antagonist,47.1227,-89.8973,inconclusive agonist,48.9662,58.9973,active antagonist,48.9662,-102.418,inactive,,0,LightBiologicals
5802,144212814,86211,CC(C)C1CCC(C1(CN2C=NC=N2)O)CC3=CC=C(C=C3)Cl,Inconclusive,25,,,inconclusive antagonist (cytotoxic),active antagonist,50.3967,-125.668,active agonist,54.4171,64.0189,active antagonist,50.3967,-155.422,inconclusive antagonist,54.4171,-147.185,EQ Laboratories
5803,144212815,520148,CCC(C)C(=O)OCCC1=CC=CC=C1,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
5804,144212816,10154203,CC(COCCO)OCCO,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
5805,144212817,62835,CC1C(=C(C(=O)O1)O)C,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
5806,144212818,60196432,O.O.Cl[In](Cl)Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,ABCR
5807,144212819,43598,CCCC(=O)C(CC)SC1=C(OC=C1)C,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Alfa Aesar
5808,144212820,8405,C1=CC=C2C=NC=CC2=C1,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
5809,144212821,7651,CC(C)CC(=O)OCC1=CC=CC=C1,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
5810,144212822,12366,CCCCCCCCCCCCCCCC(=O)OCC,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
5811,144212823,66678,CC1=CC2=C(C=C1)NCCC2,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,TCI
5812,144212824,9578,C1(=C(C(=C(C(=C1F)F)Br)F)F)F,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
5813,144212825,62923,CN(C)CC(C1=CC=C(C=C1)OC)C2(CCCCC2)O.Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Waterstone
5814,144212826,517232,C(=O)(N)[O-].[NH4+],Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
5815,144212827,121639,CC(=O)OCCN(CCOC(=O)C)C1=CC=C(C=C1)N=NC2=C(C=C(C=C2)[N+](=O)[O-])C#N,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,LightBiologicals
5816,144212828,75538,CCCCCCCCNC,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,LightBiologicals
5817,144212829,137829,CC(C1CCCCC1)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
5818,144212830,92938,CC(CCC(=O)O)(C#N)N=NC(C)(CCC(=O)O)C#N,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,LightBiologicals
5819,144212831,23666110,C1=CC(=C(C=C1OC2=C(C=C(C=C2I)C[C@@H](C(=O)[O-])N)I)I)O.[Na+],Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
5820,144212832,6873,CC(C)COC(=O)C1=CC=CC=C1O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
5821,144212833,21096,C1CC(CC=C1)C2=CC=CC=C2,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive agonist,,,inactive,,0,TCI
5822,144212834,10976,CCCCCC(C)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
5823,144212835,179,CC(C(=O)C)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
5824,144212836,74695,C1=CC(=C(C(=C1)F)C#N)F,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,LightBiologicals
5825,144212837,76464,CC1(COP(OC1)OC2=CC=CC=C2)C,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,LightBiologicals
5826,144212838,7738,COC1=CC=C(C=C1)CO,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive agonist,,17.1637,inactive,,0,LightBiologicals
5827,144212839,32065,CC1CCC2=NC=CN=C12,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
5828,144212840,6426889,[O-]Cl(=O)=O.[K+],Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,LightBiologicals
5829,144212841,9895,CC1=C(C(CCC1)(C)C)C=O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
5830,144212842,5388510,CC(C)(C)C(=O)/C=C/C1=CC=C(C=C1)Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,LightBiologicals
5831,144212843,60196433,C[C@]12CC[C@](C[C@H]1C3=CC(=O)[C@@H]4[C@]5(CC[C@@H](C([C@@H]5CC[C@]4([C@@]3(CC2)C)C)(C)C)O[C@@H]6[C@@H]([C@H]([C@@H]([C@H](O6)C(=O)O)O)O)O[C@H]7[C@@H]([C@H]([C@@H]([C@H](O7)C(=O)[O-])O)O)O)C)(C)C(=O)O.[NH4+].O.O.O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Acros
5832,144212844,61384,CCCCCC(=O)OCCC1=CC=CC=C1,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
5833,144212845,17258,CCCCCCCCOC(=O)C=C,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,LightBiologicals
5834,144212846,6553885,C[C@@H]1CC[C@H]([C@H](C1)O)C(=C)C,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
5835,144212847,94398,C1=C(C(=C(C(=C1[N+](=O)[O-])Cl)[N+](=O)[O-])Cl)C(F)(F)F,Inconclusive,25,,,inconclusive antagonist (cytotoxic),active antagonist,13.8006,-127.232,active agonist,14.9015,105.308,active antagonist,23.6173,-179.256,active antagonist,14.9015,-100.622,LightBiologicals
5836,144212848,10470544,CC(C)CCCCCCC1=CC=C(C=C1)OCCOCCO,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
5837,144212849,5362736,C1CCCCCC(=O)CCC/C=C\CCCC1,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,TCI
5838,144212850,7531,CC(C)(CC1=CC=CC=C1)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
5839,144212851,519907,CSC1=NC=CN=C1,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,LightBiologicals
5840,144212852,61054,COC1=CC=C(C=C1)COC=O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
5841,144212853,8918,CCCCCCCCCOC(=O)C,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,TCI
5842,144212854,25612,C=CCCCCCCCCO,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
5843,144212855,,,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
5844,144212856,5354280,CCOC1=C(C=C(C=C1)/C=C/C)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
5845,144212857,8863,CC(CCCC(C)(C)O)CC(OC)OC,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
5846,144212858,4564493,CC1=C(C(=O)CO1)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
5847,144212859,539829,CC(C)C(=O)OC1=C(C=C(C=C1)C=O)OC,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
5848,144212860,,,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
5849,144212861,929262,C[C@]12CCCC([C@@H]1CC[C@@]3([C@@H]2CC(=O)O3)C)(C)C,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
5850,144212862,5282109,CC(=CCC/C(=C/COC=O)/C)C,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
5851,144212863,31286,CCCCCCCC#N,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
5852,144212864,7439,CC1=CCC(CC1=O)C(=C)C,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive agonist,,,inactive,,0,Crescent
5853,144212865,641256,C/C=C/C=C/CO,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
5854,144212866,10140,C[C@H](CCC(=O)NCC(=O)O)[C@H]1CC[C@@H]2[C@@]1([C@H](C[C@H]3[C@H]2[C@@H](C[C@H]4[C@@]3(CC[C@H](C4)O)C)O)O)C,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
5855,144212867,7460,CC1=CCC(C=C1)C(C)C,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
5856,144212868,76674,CC1=CC(=CC(=C1)OC)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,TCI
5857,144212869,12570,CCCC1=CC=CC=C1O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
5858,144212870,6386037,C/C=C(\C)/C(=O)OCCC(C)CCC=C(C)C,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
5859,144212871,61417,CCC(=O)OCC1=CC=C(C=C1)OC,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
5860,144212872,234237,CCCCCCC(CCOC(=O)C)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
5861,144212873,23173,C1CCCCCOCCCCOC(=O)CCCC1,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
5862,144212874,778574,CC(C)COC(=O)/C=C/C1=CC=CC=C1,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
5863,144212875,5978897,C/C=C/C=C/COC(=O)C(C)C,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,MP Biomedicals
5864,144212876,5366844,CCCCC/C=C/CC(=O)OC,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
5865,144212877,62217,C1=CC=C2C=C(C=CC2=C1)OC(=O)C3=CC=CC=C3N,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Oakwood
5866,144212878,61027,CCCCOC(=O)CCCCCCCCC=C,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
5867,144212879,16678,CC1=C(C(=CC=C1)C(C)(C)C)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,LightBiologicals
5868,144212880,71612,C1CN(CCN1CCOCCO)C(C2=CC=CC=C2)C3=CC=C(C=C3)Cl.Cl,Inconclusive,5,,,inconclusive,inconclusive antagonist,54.2225,-107.6,inconclusive agonist,,,inconclusive,,,inconclusive antagonist,,,Waterstone
5869,144212881,21619272,CC(=O)OC1=C(C=C(C=C1)[N+](=O)[O-])CCl,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inconclusive agonist,,21.2468,Apollo
5870,144212882,61634,CC1CC(C(=O)C1=O)C,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive agonist,34.6697,44.7557,inactive,,0,SIGMA
5871,144212883,62539,CCC(=O)C(=O)CC,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
5872,144212884,520888,CC1=C(SC(=N1)C)C(=O)C,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
5873,144212885,14235,CC(=O)OC(C)(C)CCCC(=C)C=C,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive antagonist,,,inactive,,0,MP Biomedicals
5874,144212886,7704,CCCCC1CCC(=O)O1,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
5875,144212887,33960,CCCCCC1=CC=CC(=O)O1,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inconclusive antagonist,,,SIGMA
5876,144212888,107217,CC(=O)OC1C(C2CCC1(C2)C)(C)C,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
5877,144212889,8167,CCCCCCCCCCOC(=O)C,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
5878,144212890,15461361,CC/C=C\CCOC(=O)/C(=C/C)/C,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
5879,144212891,22873,CCCCCCOC(=O)CCCCC,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
5880,144212892,14104,CC1=CC(=C(C=C1)C(C)C)OC,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
5881,144212893,5355130,CCCCC(CC)COC(=O)/C=C/C1=CC=C(C=C1)OC,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
5882,144212894,75282,C=CC(=O)OCCOC(=O)C=C,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,LightBiologicals
5883,144212895,14228,CCCCCCCC(=O)OCCCCCC,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
5884,144212896,61982,CC1CCC(C(=O)C1)C(C)(C)S,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
5885,144212897,26289,CC(C)C1=CC=C(C=C1)C#N,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,TransWorld
5886,144212898,13233,CC1(SC(SC(S1)(C)C)(C)C)C,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
5887,144212899,5368076,CCCCCC/C=C/C(=O)OC,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
5888,144212900,1550823,C[C@H]1C[C@H](CC(C1)(C)C)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Waterstone
5889,144212901,74887,C(CI)C(C(C(C(F)(F)F)(F)F)(F)F)(F)F,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
5890,144212902,7570,C1=CC(=CC=C1CC2=CC=C(C=C2)N=C=O)N=C=O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,LightBiologicals
5891,144212903,16961,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@@]4([C@]3([C@H](C[C@@]2([C@]1(C(=O)COP(=O)([O-])[O-])O)C)O)F)C.[Na+].[Na+],Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
5892,144212904,31226,CC(=O)OCCCC1=CC=CC=C1,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
5893,144212905,31251,CCCCCCCCC(=O)OCC,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
5894,144212906,526624,CC1=C(C=CO1)SSC2=C(OC=C2)C,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive agonist,,,inconclusive antagonist,,,SIGMA
5895,144212907,61098,CCC(=O)OC(C)(CCC=C(C)C)C=C,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inconclusive antagonist,,,SIGMA
5896,144212908,528143,CC1=CN=C(C=N1)SC,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inconclusive antagonist,,,SIGMA
5897,144212909,36822,C1CCC2=NC=CN=C2C1,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
5898,144212910,9878,C[C@H]1C[C@H]2[C@@H]3CC[C@@]([C@]3(C[C@@H]([C@@]2([C@@]4(C1=CC(=O)C=C4)C)F)O)C)(C(=O)C)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
5899,144212911,15420,CCCCC1=CC=C(C=C1)O,Inconclusive,30,,,inconclusive antagonist,inconclusive antagonist,,,inactive,,0,inconclusive antagonist,,,inactive,,0,Crescent
5900,144212912,75547,C1C2=CC=CC=C2C3=C1C=C(C=C3)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
5901,144212913,23675339,CC1=NN(C(=O)C1N=NC2=CC=CC=C2)C3=CC=C(C=C3)S(=O)(=O)[O-].[Na+],Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,LightBiologicals
5902,144212914,,,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
5903,144212915,7007,CC(=O)OC(C1=CC=CC=C1)C(Cl)(Cl)Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
5904,144212916,24838,CCCCCCOC(=O)C(C)CC,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
5905,144212917,18522,CC1C(=O)CCO1,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inconclusive antagonist,,,SIGMA
5906,144212918,3354132,CC1=C(C(=O)C=CO1)OC(=O)C(C)C,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
5907,144212919,5352837,CC/C=C\CCCCO,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
5908,144212920,8380,CCCCCCCCCCOC(=O)C1=CC=CC=C1C(=O)OCCCCCCCC,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,LightBiologicals
5909,144212921,15037,C1=CN(C=C1)CC2=CC=CO2,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
5910,144212922,14306122,CCCCCCCCCOC(=O)CCCCC(=O)OCCCCCCC,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,TCI
5911,144212923,155434,CC(=O)NCCCS(=O)(=O)[O-].CC(=O)NCCCS(=O)(=O)[O-].[Ca+2],Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Waterstone
5912,144212924,7658,CCCC(=O)OCCC1=CC=CC=C1,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inconclusive antagonist,,,SIGMA
5913,144212925,18669,CCCCCCCCCCCC[N+](C)(C)CCCCCCCCCCCC.[Br-],Inconclusive,25,,,inconclusive antagonist (cytotoxic),active antagonist,45.3541,-93.6288,inconclusive antagonist,61.6524,-45.9465,active antagonist,54.9477,-180.786,active antagonist,40.4219,-104.409,SIGMA
5914,144212926,62351,CSCCCN=C=S,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Alfa Aesar
5915,144212927,12566,CC1=CC=C(C=C1)C2=CC=CC=C2,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
5916,144212928,15209,C[C@]12CCC(=O)C=C1[C@H](C[C@@H]3[C@@H]2[C@H](C[C@]4([C@H]3C[C@@H]5[C@]4(OC(O5)(C)C)C(=O)CO)C)O)F,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
5917,144212929,16971,COC1=CC(=CC=C1)Br,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,LightBiologicals
5918,144212930,27457,CCC1=NC=CN=C1C,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,LightBiologicals
5919,144212931,31280,CCCCCCCCCCCCCCCC[N+](C)(C)CC.[Br-],Inconclusive,25,,,inconclusive antagonist (cytotoxic),active antagonist,55.1225,-124.279,inconclusive agonist,58.3888,41.4589,active antagonist,55.1225,-208.203,active antagonist,43.7854,-122.784,SIGMA
5920,144212932,8159,CCCCCCCOC(=O)C,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,TCI
5921,144212933,69091,CC1=CC=C(C=C1)OC(=O)C2=CC=CC=C2O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inconclusive agonist,,,TCI
5922,144212934,16821,CCCCCCCCC1CCC(=O)O1,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
5923,144212935,4420067,CCCCCCCCCCCSCC(=O)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive agonist,,,inactive,,0,Cayman
5924,144212936,13132266,CCCCCCCCCCCCCCCCCC(=O)OCC(CC)CCCC,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,ChemService
5925,144212937,61031,CCCCCCCCCC(C)C=O,Inconclusive,30,,,inconclusive antagonist,inconclusive antagonist,,,inactive,,0,inconclusive antagonist,,,inconclusive antagonist,,,SIGMA
5926,144212938,7984,C1CCCCCCCC(=O)OCCCCCCC1,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
5927,144212939,7194,C1=CC=C(C=C1)CCOC(=O)C2=CC=CC=C2,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
5928,144212940,16760703,CCCC(CCC)C(=O)[O-].[Na+],Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
5929,144212941,7921,CC1CCC(=O)O1,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive antagonist,,,inactive,,0,SIGMA
5930,144212942,543323,CC(CCCC(=C)C)CCO,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
5931,144212943,5352543,CCCCCC(=O)OCC/C=C\CC,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive,,,inactive,,0,SIGMA
5932,144212944,96509,C1CC2C(C1)C3CC2CC3=O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,LightBiologicals
5933,144212945,85025,C1=CC=C(C=C1)C[N+]2=CC=CC3=CC=CC=C32.[Cl-],Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,LightBiologicals
5934,144212946,61209,CC1CCC(=O)C1=O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
5935,144212947,5352539,CC/C=C\CCOC(=O)C(C)C,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive agonist,,,inactive,,0,SIGMA
5936,144212948,7632,CC(C)(CCC1=CC=CC=C1)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
5937,144212949,26049,CC1=CCC2C(C1)C2(C)C,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,LightBiologicals
5938,144212950,5369459,C1=CC=C(C=C1)CCOC(=O)/C=C/C2=CC=CC=C2,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inconclusive agonist,,,SIGMA
5939,144212951,4047281,CCOC(=O)COC1=CC=C(C=C1)C,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Chemgenx
